,date,rf,price,shift_1,ret,excess_ret,cumulative_excess_ret,log_cumulative_excess_return
44,2020-03-05,0.0060999999999999995,45.9,46.78,-0.018811457887986372,-0.02491145788798637,-0.6174443099585833,-0.02522699968491049
45,2020-03-06,0.0045000000000000005,41.14,45.9,-0.10370370370370366,-0.10820370370370366,-0.6588382524939906,-0.11451753986276203
46,2020-03-09,0.0032,31.05,41.14,-0.2452600875060768,-0.24846008750607682,-0.7436033301330598,-0.28563096076172845
47,2020-03-10,0.0043,34.47,31.05,0.11014492753623183,0.10584492753623183,-0.7164650431904623,0.10060968308553764
48,2020-03-11,0.0040999999999999995,33.13,34.47,-0.038874383521903,-0.042974383521903,-0.7286497831662616,-0.04392512040770025
49,2020-03-12,0.0033,31.56,33.13,-0.04738907334741937,-0.050689073347419365,-0.7424042742101851,-0.05201889793985215
50,2020-03-13,0.0027,31.72,31.56,0.005069708491761729,0.0023697084917617284,-0.7417938474313395,0.0023669051604386926
51,2020-03-16,0.0024,28.96,31.72,-0.08701134930643122,-0.08941134930643121,-0.7648804079317256,-0.09366401970671134
52,2020-03-17,0.0019,26.96,28.96,-0.06906077348066299,-0.07096077348066299,-0.7815646760453483,-0.07360431660403455
53,2020-03-18,0.0002,20.48,26.96,-0.2403560830860534,-0.24055608308605342,-0.8341106219835125,-0.2751688017873919
54,2020-03-19,0.0004,25.09,20.48,0.22509765624999997,0.22469765624999996,-0.7968356675464375,0.20269400230929735
55,2020-03-20,0.0005,19.48,25.09,-0.22359505779194896,-0.22409505779194897,-0.8423637903688813,-0.25372526345688073
56,2020-03-23,0.0002,23.33,19.48,0.19763860369609845,0.19743860369609845,-0.8112403172473678,0.18018477858864368
57,2020-03-24,0.0001,21.03,23.33,-0.09858551221603075,-0.09868551221603075,-0.8298681632255467,-0.10390103922968064
58,2020-03-25,-0.0004,20.75,21.03,-0.013314312886352883,-0.012914312886352884,-0.832065298997582,-0.012998427598941431
59,2020-03-26,-0.0005,16.6,20.75,-0.19999999999999993,-0.19949999999999993,-0.8655682718475644,-0.22251874654536774
60,2020-03-27,0.0003,15.48,16.6,-0.06746987951807235,-0.06776987951807234,-0.8746786938678611,-0.07017558438556426
61,2020-03-30,0.0012,14.1,15.48,-0.08914728682170547,-0.09034728682170548,-0.8860011338578523,-0.09469238618198617
62,2020-03-31,0.0011,20.51,14.1,0.45460992907801434,0.45350992907801435,-0.8343015161587528,0.3739812721444862
63,2020-04-01,0.0009,20.28,20.51,-0.0112140419307655,-0.0121140419307655,-0.83630879453987,-0.012188014951915127
64,2020-04-02,0.0009,25.18,20.28,0.24161735700197232,0.2407173570019723,-0.7969054801970405,0.21568972605366743
65,2020-04-03,0.001,28.36,25.18,0.12629070691024621,0.1252907069102462,-0.7714596242413309,0.1180414084177075
66,2020-04-06,0.0015,26.21,28.36,-0.07581100141043719,-0.07731100141043719,-0.7891283095539512,-0.0804630475319319
67,2020-04-07,0.0014000000000000002,23.54,26.21,-0.10186951545211757,-0.10326951545211757,-0.8109049268488836,-0.10899992522876101
68,2020-04-08,0.0022,24.97,23.54,0.06074766355140186,0.05854766355140186,-0.7998338521268042,0.05689783991428077
69,2020-04-09,0.0025,22.9,24.97,-0.08289947937525032,-0.08539947937525032,-0.8169279369437246,-0.08926789852070005
70,2020-04-13,0.0026,22.36,22.9,-0.023580786026200836,-0.026180786026200838,-0.8217209074539761,-0.026529604504180515
71,2020-04-14,0.002,20.15,22.36,-0.09883720930232562,-0.10083720930232562,-0.8396980736232682,-0.10629118115077962
72,2020-04-15,0.0014000000000000002,19.96,20.15,-0.00942928039702222,-0.01082928039702222,-0.8414340281321846,-0.010888343850829818
73,2020-04-16,0.0014000000000000002,19.82,19.96,-0.007014028056112252,-0.008414028056112252,-0.8427682066682252,-0.008449625811158379
74,2020-04-17,0.0012,18.31,19.82,-0.07618567103935427,-0.07738567103935427,-0.8549356945039256,-0.08054397691393911
75,2020-04-20,0.0012,-36.98,18.31,-3.019661387220098,-3.020861387220098,-1.293154853640917,
76,2020-04-21,0.0011,8.91,-36.98,-1.2409410492157924,-1.2420410492157925,-0.9290444916420504,
77,2020-04-22,0.0012,13.64,8.91,0.5308641975308642,0.5296641975308642,-0.8914618992472424,0.4250482325773648
78,2020-04-23,0.0011,15.06,13.64,0.10410557184750732,0.10300557184750732,-0.8802818701119622,0.09803879179759756
79,2020-04-24,0.0012,15.99,15.06,0.061752988047808745,0.060552988047808745,-0.8730325796237459,0.058790458930261025
80,2020-04-27,0.0012,12.17,15.99,-0.23889931207004378,-0.24009931207004379,-0.9035173699113925,-0.27456752801669504
81,2020-04-28,0.0011,12.4,12.17,0.01889893179950702,0.01779893179950702,-0.9018000821586083,0.017642385652991255
82,2020-04-29,0.001,15.04,12.4,0.21290322580645152,0.21190322580645152,-0.8809912027940889,0.19219203776485827
83,2020-04-30,0.0009,19.23,15.04,0.278590425531915,0.277690425531915,-0.8479435992559381,0.2450540930689573
84,2020-05-01,0.0012,19.72,19.23,0.025481019240769547,0.024281019240769548,-0.8442515148637894,0.023990921819823097
85,2020-05-04,0.0013,20.47,19.72,0.03803245436105477,0.03673245436105477,-0.8385304907417201,0.036073896307926345
86,2020-05-05,0.0013,24.56,20.47,0.19980459208597948,0.19850459208597948,-0.806478051672082,0.1810746064126878
87,2020-05-06,0.0012,23.88,24.56,-0.027687296416938102,-0.028887296416938102,-0.812068377556614,-0.029312747824861818
88,2020-05-07,0.0011,23.68,23.88,-0.008375209380234476,-0.009475209380234476,-0.8138490690284321,-0.00952038476727024
89,2020-05-08,0.0012,24.73,23.68,0.04434121621621625,0.04314121621621625,-0.8058182914665378,0.04223656111657004
90,2020-05-11,0.0012,24.02,24.73,-0.02871006874241815,-0.02991006874241815,-0.8116262797172938,-0.030366499145576764
91,2020-05-12,0.0013,25.76,24.02,0.07243963363863455,0.07113963363863456,-0.7982254422692355,0.06872315984742916
92,2020-05-13,0.0013,25.37,25.76,-0.015139751552795053,-0.016439751552795052,-0.8015425658680044,-0.016576383804885575
93,2020-05-14,0.0012,27.4,25.37,0.08001576665352769,0.07881576665352769,-0.7859009910487992,0.07586392716878665
94,2020-05-15,0.0012,29.44,27.4,0.07445255474452565,0.07325255474452565,-0.7702176916748527,0.07069380850127516
95,2020-05-18,0.0013,31.83,29.44,0.0811820652173912,0.0798820652173912,-0.7518622063354206,0.07685183630071135
96,2020-05-19,0.0013,32.3,31.83,0.014765944077913883,0.013465944077913884,-0.7485207966823164,0.01337608405419255
97,2020-05-20,0.0012,33.56,32.3,0.03900928792569676,0.03780928792569676,-0.7390125470767532,0.03711203754114889
98,2020-05-21,0.0012,34.3,33.56,0.02205005959475551,0.02085005959475551,-0.7335709431298201,0.020635671977652814
99,2020-05-22,0.0012,33.49,34.3,-0.02361516034985409,-0.02481516034985409,-0.7401824228979139,-0.025128246823787004
100,2020-05-26,0.0014000000000000002,34.7,33.49,0.0361301881158555,0.0347301881158555,-0.7311589095693527,0.034140704921590936
101,2020-05-27,0.0015,32.8,34.7,-0.05475504322766587,-0.05625504322766587,-0.7462825767329015,-0.057899322250574814
102,2020-05-28,0.0015,33.67,32.8,0.02652439024390258,0.02502439024390258,-0.7399334529213883,0.02471640766717087
